,train_loss,train_acc,dev_loss,dev_acc
0,2.139416775107384,0.19625,1.8658029130573097,0.33
1,1.9335432916879653,0.28,1.7867364489091002,0.27
2,1.8257001847028733,0.32625,1.7427523073002888,0.36
3,1.8143740504980088,0.32375,1.9886812550969188,0.32
4,1.7447384983301162,0.38,1.7176553276886857,0.42
5,1.668608582019806,0.38375,1.6586962187717778,0.41
6,1.6210582464933396,0.37625,1.6946163650405672,0.44
7,1.6511044263839723,0.38125,1.92476512192966,0.33
8,1.6432798683643342,0.39125,1.657405005794871,0.39
9,1.6337220400571824,0.38,1.6888147083036533,0.43
10,1.5620802521705628,0.43125,1.6582308584651737,0.41
11,1.568101018667221,0.4,1.67936091869771,0.43
12,1.5563740879297256,0.40625,1.9260732373499554,0.32
13,1.596654126048088,0.38375,1.609272911920862,0.41
14,1.4645460158586503,0.45875,1.6485120057444687,0.43
15,1.5070420429110527,0.44875,1.5374006668035831,0.44
16,1.5667723655700683,0.4175,1.6476515716101638,0.33
17,1.4874181270599365,0.43125,1.688667231608266,0.42
18,1.546015202999115,0.42,1.6468226358071127,0.4
19,1.541933399438858,0.41375,1.6607499232247533,0.42
20,1.4061605513095856,0.47375,1.5829007961932,0.4
21,1.4019167572259903,0.47375,1.566059926576325,0.41
22,1.4694756656885146,0.42,1.625533842721578,0.37
23,1.5376028031110764,0.38375,1.5902418433485326,0.43
24,1.5093880236148833,0.43125,1.557324346777738,0.49
25,1.4828923881053924,0.45125,1.6220531196931898,0.36
26,1.4419165059924126,0.44,1.5746094113421498,0.4
27,1.4660557359457016,0.44,1.5496592416311554,0.43
28,1.407766729593277,0.47,1.4840414222706226,0.45
29,1.3790710270404816,0.4575,1.5658999199904153,0.39
30,1.3828387558460236,0.49125,1.5310213378548592,0.47
31,1.4327776059508324,0.4675,1.7148581839795916,0.32
32,1.5076673030853271,0.435,1.697417965064864,0.36
33,1.4365242213010787,0.44875,1.5388465527662891,0.41
34,1.4448795646429062,0.46125,1.577099184831091,0.44
35,1.4859883397817613,0.42875,1.582379261556379,0.34
36,1.4725500226020813,0.4325,1.579670013694145,0.41
37,1.443745917081833,0.4475,1.581262737237883,0.43
38,1.4114774376153947,0.45125,1.7150886341571883,0.36
39,1.422559344768524,0.465,1.647338919059091,0.35
40,1.4282255947589875,0.44,1.6304686748931043,0.37
41,1.4299002677202224,0.4475,1.6744764965570655,0.39
42,1.428402304649353,0.4625,1.5828020029007435,0.41
43,1.4390872806310653,0.44125,1.5661292602636165,0.36
44,1.4015844270586968,0.45,1.49203117857253,0.49
45,1.421461933851242,0.4575,1.5710561685075353,0.39
46,1.4249648660421372,0.4575,1.5212085179936659,0.42
47,1.4436244532465934,0.44375,1.4340482043879177,0.46
48,1.3747451841831206,0.49625,1.5354822536429586,0.46
49,1.43366077542305,0.4675,1.572580715180945,0.45
50,1.3892593055963516,0.46625,1.4616838665182292,0.48
51,1.3734815463423728,0.49125,1.4341855921070112,0.46
52,1.3465404465794564,0.49125,1.443621148744053,0.46
53,1.3963850826025008,0.4675,1.3912030601458303,0.5
54,1.39020779132843,0.46375,1.4789061762378939,0.5
55,1.3151139229536057,0.49,1.355560459252088,0.47
56,1.4396912306547165,0.44625,1.7665302534107077,0.33
57,1.3322885870933532,0.48625,1.5604839469103475,0.42
58,1.393526555597782,0.47375,1.5210530662836068,0.49
59,1.3886954605579376,0.4825,1.5804957037569987,0.48
60,1.3441935881972313,0.47875,1.4380150556186302,0.45
61,1.3526587337255478,0.47875,1.519534663759115,0.45
62,1.338341799378395,0.49,1.4199497893776702,0.49
63,1.3774424150586129,0.47,1.6367787497539001,0.38
64,1.4242934569716454,0.4575,1.4725420219394425,0.46
65,1.3624814063310624,0.495,1.4502699445707188,0.48
66,1.3219839990139008,0.5,1.38723992909242,0.47
67,1.3115802153944969,0.52,1.549593810889418,0.44
68,1.3120823070406913,0.5125,1.4101441978833444,0.49
69,1.365081587433815,0.49,1.812040498430158,0.31
70,1.350348624587059,0.49875,1.4562508474386853,0.51
71,1.3197134733200073,0.49125,1.468384028488227,0.43
72,1.3394850969314576,0.49375,1.3976537994001539,0.47
73,1.2917529419064522,0.50875,1.5005644800682514,0.45
74,1.2856548458337784,0.505,1.473152034179133,0.41
75,1.2713905662298202,0.5125,1.386291868102796,0.5
76,1.2355223298072815,0.555,1.6831193294655733,0.41
77,1.3167087823152541,0.48375,1.5331780341731307,0.38
78,1.353278237581253,0.47125,1.5870431443774322,0.39
79,1.2604513421654702,0.5175,1.451888406589856,0.46
80,1.233623993396759,0.5175,1.426437904776557,0.44
81,1.3457751408219338,0.495,1.4265903440497758,0.42
82,1.335746394097805,0.505,1.41912045645195,0.45
83,1.3417961582541467,0.49375,1.5891425508043868,0.4
84,1.3660404071211816,0.4775,1.4745237388853072,0.44
85,1.2383462741971016,0.52625,1.4712204297729794,0.46
86,1.273519691824913,0.50875,1.4327374381762603,0.47
87,1.2579243272542953,0.5175,1.4744420003317658,0.41
88,1.241471840441227,0.54,1.6825556366285106,0.44
89,1.358273270726204,0.49375,1.4600812901637208,0.5
90,1.3186421915888786,0.50125,1.6614928278196346,0.42
91,1.2711785331368446,0.515,1.5290556866122327,0.5
92,1.3097937047481536,0.505,1.4084299596145509,0.46
93,1.2613946095108985,0.53625,1.500059339464582,0.41
94,1.2612046793103218,0.51125,1.4467851502082074,0.46
95,1.241926634311676,0.5225,1.6186071171672094,0.38
96,1.2386920660734178,0.53375,1.4218844277741236,0.44
97,1.2710475593805313,0.52375,1.4439828914074577,0.5
98,1.2758581250905991,0.50125,1.4969187071729508,0.34
99,1.2276735052466392,0.5325,1.643969594679221,0.4
